medcodeid	term
1009591000006119	Cause of learning disabilities: Brain tumour
1014181000006112	Adverse reaction to Drugs Used In Malignant Disease And Immunosuppression
1014311000006119	Adverse reaction to Sex Hormones And Antagonists In Malignant Disease
1014321000006110	Adverse reaction to Oestrogens In Malignant Diseases
1014331000006113	Adverse reaction to Progestogens In Malignant Disease
101681000006111	Thyroid tumour/metastasis irradiation
103180017	Mesothelial neoplasm
103875012	Stewart-Treves syndrome
109371000006115	Malignant teratoma of descended testis
109381000006117	Malignant teratoma of testis
109391000006119	Teratoma of undescended testis
110346017	Lymphoma stage IV
113381000006118	Synovial osteochondromatosis of lesser metatarsophalangeal joint
113391000006115	Synovial osteochondromatosis of metacarpophalangeal joint
113411000006115	Synovial osteochondromatosis of proximal interphalangeal joint of finger
113726012	Excision of lesion of bone
113765010	Polyp of colon
113768012	Colonic polyp
1140091000000112	Awaiting chemotherapy
114573012	Heavy chain disease
1149831000000113	Has cancer key worker
1158011000000116	Suspected malignant mesothelioma
116189017	Chemotherapy
11777961000006118	Melanoma in situ of skin structure of scalp and/or neck
118291012	Cystosarcoma phyllodes
118574012	Erythroplasia
11873531000006111	[V]Personal history of malignant neoplasm of male genital organ (context-dependent category)
11878501000006110	Carcinoma in situ of skin of head and neck
11902611000006112	T-cell lymphoma (clinical)
11902631000006118	Osteoma
11902931000006112	Neoplasm of uncertain behavior of ureter
11903701000006110	Solitary myeloma
11903941000006110	Secondary malignant neoplasm of other digestive organ
11903951000006112	Secondary malignant neoplasm of other respiratory organs
11903991000006118	Secondary and unspec malig neop anterior cervical LN
11904011000006113	Secondary and unspec malig neop circumflex iliac LN
11904021000006117	Secondary and unspec malig neop coeliac lymph nodes
11904031000006119	Secondary and unspec malig neop common iliac lymph nodes
11904041000006112	Secondary and unspec malig neop deep cervical LN
11904051000006114	Secondary and unspec malig neop deep inguinal lymph nodes
11904061000006111	Secondary and unspec malig neop deep parotid lymph nodes
11904071000006116	Secondary and unspec malig neop diaphragmatic lymph nodes
11904091000006115	Secondary and unspec malig neop inferior epigastric LN
11904101000006114	Secondary and unspec malig neop inferior mesenteric LN
11904111000006112	Secondary and unspec malig neop inferior tracheobronchial LN
11904121000006116	Secondary and unspec malig neop infraclavicular lymph nodes
11904131000006118	Secondary and unspec malig neop intercostal lymph nodes
11904141000006111	Secondary and unspec malig neop internal iliac lymph nodes
11904151000006113	Secondary and unspec malig neop internal mammary lymph nodes
11904161000006110	Secondary and unspec malig neop obturator lymph nodes
11904171000006115	Secondary and unspec malig neop of facial lymph nodes
11904201000006116	Secondary and unspec malig neop pectoral lymph nodes
11904211000006118	Secondary and unspec malig neop popliteal lymph nodes
11904231000006112	Secondary and unspec malig neop pulmonary lymph nodes
11904241000006119	Secondary and unspec malig neop sacral lymph nodes
11904251000006117	Secondary and unspec malig neop submandibular lymph nodes
11904261000006115	Secondary and unspec malig neop submental lymph nodes
11904281000006113	Secondary and unspec malig neop superficial cervical LN
11904291000006111	Secondary and unspec malig neop superficial inguinal LN
11904301000006112	Secondary and unspec malig neop supratrochlear lymph nodes
11904311000006110	Secondary and unspec malignant neoplasm mastoid lymph nodes
11904531000006110	Rectal carcinoma
11904891000006112	Overlapping lesion of other and unspecified parts of mouth
11905951000006111	Acinar cell tumor
11905961000006113	Acute myeloid leukemia, M6 type
11906051000006117	[M]Adenomatous and adenocarcinomatous polyps
11906061000006115	[M]Adenomatous and adenocarcinomatous polyps of colon
11906071000006110	[M]Adenomatous or adenocarcinomatous polyp NOS
11906231000006119	[M]Apocrine adenoma or adenocarcinoma NOS
11906291000006115	Blood vessel tumor
11906441000006113	[M]Ceruminous adenoma and adenocarcinoma
11906501000006112	[M]Chronic erythraemia
11906511000006110	Chronic leukemia (category)
11906521000006119	[M]Clear cell adenoma or adenocarcinoma NOS
11906531000006116	[M]Clear cell adenomas and adenocarcinomas
11906621000006115	[M]Cystadenoma and carcinoma
11906631000006117	[M]Cystadenoma or carcinoma NOS
11906721000006111	Eosinophilic leukemia
11906781000006110	[M]Erythroleukaemia
11906971000006114	Giant cell tumor
11906981000006112	Giant cell tumor of bone
11907071000006113	Hemangioendothelioma
11907251000006112	[M]Idiopathic thrombocythaemia
11907261000006114	[M]Infiltrating ductular carcinoma
11907841000006114	Mesonephric tumor
11907871000006118	Mesothelioma (malignant, clinical disorder)
11908001000006115	[M]Mixed cell adenoma or adenocarcinoma NOS
11908061000006119	[M]Mucinous adenoma and adenocarcinoma
11908071000006114	[M]Mucinous adenoma or adenocarcinoma NOS
11908111000006118	[M]Myoma and myosarcoma
11908121000006114	[M]Myoma or myosarcoma NOS
11908181000006113	[M]Neoplasms NOS
11908201000006114	Nerve sheath tumor
11908321000006111	Odontogenic tumor
11908371000006112	[M]Other monocytic leukaemia NOS
11908461000006111	[M]Oxyphilic adenoma or adenocarcinoma NOS
11908471000006116	[M]Oxyphilic adenomas and adenocarcinomas
11908501000006111	[M]Papillary adenoma or adenocarcinoma NOS
11908511000006114	[M]Papillary adenomas and adenocarcinomas
11908671000006118	Plasma cell leukemia
11908711000006119	Polycythemia vera
11908841000006110	[M]Sebaceous adenoma and adenocarcinoma
11908851000006112	[M]Sebaceous adenoma or adenocarcinoma NOS
11908881000006116	Serous surface papillary tumor of borderline malignancy
11908991000006114	Specialized gonadal neoplasm
11909131000006117	Sweat gland tumor
11909301000006111	[M]Tubular adenoma or adenocarcinoma NOS
11909311000006114	[M]Tubular adenomas and adenocarcinomas
11909341000006113	[M]Urothelial carcinoma
11909351000006110	[M]Villous adenoma or adenocarcinoma NOS
11909361000006112	[M]Villous adenomas and adenocarcinomas
11911661000006118	[V]Personal history of malignant neoplasm of male genital organ
11911791000006119	[V]Personal history of malignant neoplasm of trachea, bronchus or lung
11911831000006114	[V]Personal history of malignant neoplasm of bronchus
11911841000006116	[V]Personal history of malignant neoplasm of cervix uteri
11911851000006119	[V]Personal history of malignant neoplasm of genital organ
11911921000006119	[V]Personal history of malignant neoplasm of lung
11911941000006114	[V]Personal history of malignant neoplasm of ovary
11911951000006111	[V]Personal history of malignant neoplasm of prostate
11911981000006115	[V]Personal history of malignant neoplasm of testis
11912001000006115	[V]Personal history of malignant neoplasm of trachea
11912021000006113	[V]Personal history of malignant neoplasm of uterine body
11918081000006110	[X]Mal neoplasm/overlap les/periph nerv+autonomic nerv systm
11918121000006112	[X]Malignant neoplasm of breast
11918131000006110	[X]Malignant neoplasm of bronchus or lung, unspecified
11918191000006114	Malignant tumor of male genital organ
11918201000006112	Malignant tumor of mediastinum
11918251000006111	[X]Malignant neoplasm-pluriglandular involvement,unspecified
11918261000006113	[X]Malignant neoplasm/bones+articular cartilage/limb,unspfd
11918281000006115	[X]Malignant neoplasm/overlap lesion/bone+articulr cartilage
11918311000006118	[X]Malignant neoplasm/overlapping lesion/male genital organs
11918651000006114	Neoplastic disease of uncertain behavior
11918671000006116	Neoplasm of uncertain behavior of respiratory tract
11918701000006115	Neoplasm of uncertain behavior of digestive organ
11919601000006115	[X]Other malignant immunoproliferative diseases
11919851000006115	Liver cell carcinoma
11923431000006116	Carcinoma in situ of lip, oral cavity and pharynx
11923481000006115	Carcinoma of rectum
11923621000006116	Polycythemia vera (clinical)
11925141000006117	Melanoma in situ of scalp and neck
11925531000006118	Malignant neoplasm of ventral tongue surface NOS
11925551000006113	Malignant tumor of vulva
11925561000006110	Malignant neoplasm, overlap lesion of resp & intrathor orgs
11925571000006115	Malignant neoplasm of trunk NOS
11925581000006117	Malignant tumor of small intestine
11925591000006119	Malignant neoplasm of stomach NOS
11925601000006110	Malignant neoplasm of supraclavicular fossa NOS
11925611000006113	Malignant neoplasm of prepylorus of stomach
11925631000006119	Malignant neoplasm of posterior wall of stomach NEC
11925691000006115	Malignant neoplasm of lip unspecified, inner aspect
11925701000006115	Malignant neoplasm of lip, unspecified, lipstick area
11925731000006111	Malignant tumor of head and neck
11925741000006118	Malignant neoplasm of inguinal region NOS
11925761000006119	Malignant neoplasm of jaw NOS
11925771000006114	Neoplasm of urinary system
11925781000006112	Malignant neoplasm of flank NOS
11925821000006118	Malignant neoplasm of chest wall NOS
11925861000006112	Malignant neoplasm of back NOS
11925871000006117	Malignant neoplasm of bone and articular cartilage NOS
11925881000006119	Malignant tumor of lung
11925901000006117	Malignant neoplasm of anterior wall of stomach NEC
11925921000006110	Malignant lymphoma NOS of intra-abdominal lymph nodes
11925931000006113	Malignant lymphoma NOS of intrapelvic lymph nodes
11925941000006115	Malignant lymphoma NOS of intrathoracic lymph nodes
11925951000006118	Malignant lymphoma NOS of lymph node inguinal region and leg
11925961000006116	Malignant lymphoma NOS of lymph nodes of axilla and arm
11925971000006111	Malignant lymphoma NOS of lymph nodes of head, face and neck
11925981000006114	Malignant lymphoma NOS of lymph nodes of multiple sites
11926001000006113	Malignant lymphoma NOS of spleen
11926011000006111	Malig neop of connective and soft tissue trunk unspecified
11926201000006119	Leukaemic reticuloendotheliosis of unspecified sites
11926831000006111	Hodgkin's disease NOS of intra-abdominal lymph nodes
11926841000006118	Hodgkin's disease NOS of intrapelvic lymph nodes
11926851000006116	Hodgkin's disease NOS of intrathoracic lymph nodes
11926861000006119	Hodgkin's disease NOS of lymph nodes inguinal region and leg
11926871000006114	Hodgkin's disease NOS of lymph nodes of axilla and arm
11926881000006112	Hodgkin's disease NOS of lymph nodes of head, face and neck
11926891000006110	Hodgkin's disease NOS of lymph nodes of multiple sites
11926901000006114	Hodgkin's disease NOS of spleen
11926921000006116	Hodgkin's, lymphocytic-histiocytic predominance unspec site
11926961000006110	Hyperparathyroid bone disease
11927581000006111	History of dysplasia of cervix
11928591000006113	Primary malignant neoplasm of descended testis
11930251000006115	Erythroleukemia, FAB M6
11989451000006116	Acinar cell tumor
11989471000006114	Blood vessel tumor
11989501000006119	Eosinophilic leukemia
11989511000006116	Giant cell tumor of bone
11989531000006110	Hemangioendothelioma
11989541000006117	Mesonephric tumor
11989551000006115	Plasma cell leukemia
11989561000006118	Polycythemia vera
11989581000006111	Specialized gonadal neoplasm
11989591000006114	Sweat gland tumor
11989701000006113	Human immunodeficiency virus with secondary cancers
12019901000006119	Selective internal radiotherapy of liver using yttrium (90-Y) labelled microspheres
12019921000006112	SIRT (Selective internal radiotherapy) of liver using yttrium (90-Y) labeled microspheres
12019931000006110	SIRT (Selective internal radiotherapy) of liver using yttrium (90-Y) labelled microspheres
120463018	Intestinal metaplasia of gastric mucosa
1207842014	Neoplasm of uncertain behaviour of retroperitoneum
12079021000006115	Surface epithelial-stromal tumour
1208876015	Malignant neoplasm of eye
1210553016	Malignant neoplasm of adrenal cortex
1210554010	Malignant neoplasm of adrenal medulla
1210561014	Malignant neoplasm of body of uterus
1210566016	Malignant neoplasm of clitoris
1210642019	Malignant neoplasm of female breast
1211679013	Reticulosarcoma
12121681000006119	Cervical cancer screening offered
12121741000006119	Cervical cancer screening not offered
1215809015	Secondary malignant neoplasm of retroperitoneum
1215862010	Malignant neoplasm, overlapping lesion of oesophagus
1215865012	Idiopathic thrombocythaemia
1215896015	[M]Hilar cell tumour
1215905010	Burkitt's tumour
1216006019	[M] Refractory anaemia with sideroblasts
1216009014	[M] Refractory anaemia with excess of blasts
1216013019	[M]Juxtaglomerular tumour
1216014013	[M]Plasma cell leukaemia
1216015014	[M]Prolymphocytic leukaemia
1216016010	[M]Mast cell leukaemia
1216029010	Erythroleukaemia
1216064018	[M]Squamous cell carcinoma, keratinising type NOS
1216076018	Ca upper third oesophagus
1216077010	Ca middle third oesophagus
1216078017	Ca lower third oesophagus
1216084019	Tumour NOS
1216160012	[M]Acute leukaemia NOS
1216230014	Papillary cystic tumour
1216284012	[M]Acute promyelocytic leukaemia
1216343012	[M]Carotid body tumour
1216346016	[M]Acute myelomonocytic leukaemia
1216356017	[M]Mucocarcinoid tumour, malignant
1216359012	[V]Personal history of malignant neoplasm of oesophagus
1216360019	[V]Personal history of lymphoid leukaemia
1216361015	[V]Personal history of myeloid leukaemia
1216362010	[V]Personal history of monocytic leukaemia
1216363017	[V]Personal history of other haematopoietic neoplasm
1216381019	[V] Follow-up examination after chemotherapy for leukaemia
1216395016	[M]Glomus jugulare tumour
1216396015	[M]Lymphoid leukaemia NOS
1216406014	Mixed germ cell tumour
1216442018	[M]Triton tumour, malignant
1216464010	Malignant neoplasm of caecum
1216486011	Oesophageal cancer
1216488012	Malignant neoplasm of oesophagus
1216572014	[M]Myeloid leukaemia NOS
1216595017	[M]Primitive neuroectodermal tumour
1216598015	[M]Rathke's pouch tumour
1216670013	[M]Carcinoid tumour, argentaffin, malignant
1216721019	[M]Aortic body tumour
1216729017	[M]Hairy cell leukaemia
1216731014	[M]Epithelioid haemangioendothelioma, malignant
1216809013	[M]Chronic myeloid leukaemia
1216817017	[M]Sclerosing stromal tumour
1216826019	[M] Klatskin's tumour
1216834013	[M]Haemangioendothelioma
1216845011	[M]Blue naevus, malignant
1216868019	[M]Basophilic leukaemia
1216896013	[M]Sex cord tumour with annular tubules
1216922016	[M] Placental site trophoblastic tumour
1216937017	[M]Juvenile granulosa cell tumour
1216939019	[M]Burkitt's tumour
1216940017	[M]Adult T-cell leukaemia/lymphoma
1217037013	Adenocarcinoid tumour
1217274016	Carcinoma in situ of lower 1/3 oesophagus
1217275015	Carcinoma in situ of middle 1/3 oesophagus
1217276019	Carcinoma in situ of upper 1/3 oesophagus
1217303013	Neoplasm of uncertain or unknown behaviour of appendix
1217305018	Renal neoplasm of uncertain behaviour
1217307014	Neoplasm of uncertain or unknown behaviour of renal pelvis
1217360013	Malignant neoplasm, overlapping lesion of hypopharynx
1217367011	Malignant neoplasm, overlapping lesion of eye and adnexa
12188311000006119	Neuroendocrine tumor
