"searchterms","exclusionterms","searched_in_column","searchmethod"
"Crohn's disease","Family history","Term","termsearch <- function(lookup, terms) {stringr::str_detect(lookup, stringr::regex(paste(terms, collapse = '|'), ignore_case = TRUE))}; initial <- dplyr::filter(DATA, termsearch(COLUMN, SEARCHTERMS)); excluded <- dplyr::filter(initial, termsearch(COLUMN, EXCLUSIONTERMS); final <- dplyr::setdiff(inital, excluded)"
"Crohns disease","Investigation for",,
"Crohn's colitis","screening",,
"Crohn disease","FH:",,
"Crohn's ileitis",,,
"Crohn's proctitis",,,
"Crohn's regional enteritis",,,
"Granulomatous colitis",,,
"Granulomatous enteritis",,,
"Regional enteritis - Crohn",,,
