"searchterms","exclusionterms","searched_in_column","searchmethod"
"(?=.*fract)(?=.*forearm)","family history","Term","termsearch <- function(lookup, terms) {stringr::str_detect(lookup, stringr::regex(paste(terms, collapse = '|'), ignore_case = TRUE))}; initial <- dplyr::filter(DATA, termsearch(COLUMN, SEARCHTERMS)); excluded <- dplyr::filter(initial, termsearch(COLUMN, EXCLUSIONTERMS); final <- dplyr::setdiff(inital, excluded)"
"(?=.*fract)(?=.*carpal)","score",,
"(?=.*fract)(?=.*carpus)","FH:",,
"(?=.*fract)(?=.*barton)","risk assessment",,
"(?=.*fract)(?=.*colle)","frax",,
"(?=.*fract)(?=.*carpometacarpal)",,,
"(?=.*fract)(?=.*wrist)",,,
"(?=.*fract)(?=.*smith)",,,
"(?=.*fract)(?=.*navicular)",,,
"(?=.*fract)(?=.*scaphoid)",,,
"(?=.*fract)(?=.*lunate)",,,
"(?=.*fract)(?=.*triquetr)",,,
"(?=.*fract)(?=.*pisiform)",,,
"(?=.*fract)(?=.*trapez)",,,
"(?=.*fract)(?=.*trapezoid)",,,
"(?=.*fract)(?=.*capitate)",,,
"(?=.*fract)(?=.*hamate)",,,
"(?=.*fract)(?=.*radi)(?=.*dist)",,,
"(?=.*fract)(?=.*radi)(?=.*styloid)",,,
"(?=.*fract)(?=.*uln)(?=.*dist)",,,
"(?=.*fract)(?=.*forearm)(?=.*dist)",,,
"(?=.*fract)(?=.*forearm)(?=.*lower)",,,
"(?=.*fract)(?=.*radioulnar)(?=.*dist)",,,
"(?=.*fract)(?=.*sesam)(?=.*hand)",,,
