medcodeid	term
1009271000006118	Non Smoker - Nos
102921000006112	Tobacco smoking consumption
102951000006115	Tobacco dependence
103051000006114	Tobacco usage screen
103061000006111	Tobacco usage screening
1059701000000119	Ex roll-up cigarette smoker
108938018	Cigarette smoker
1123541000000118	Stop smoking face to face follow-up
1123751000000113	Non-smoker annual review - enhanced services administration
1123951000000110	Ex-smoker annual review - enhanced services administration
1125741000000111	Brief intervention for smoking cessation
1151791000000117	Recently stopped smoking
1152111000000118	Current smoker annual review
1154431000000112	Non-smoker annual review
1154471000000114	Ex-smoker annual review
1175011000000112	Smoking cessation programme declined
1176421000000118	Smoking cessation advice declined
128130017	Smoker
128311000006112	Stop smoking monitoring first letter
128321000006116	Stop smoking monitoring second letter
128331000006118	Stop smoking monitoring third letter
128361000006110	Stop smoking monitoring telephone invite
128371000006115	Stop smoking monitoring verbal invite
128381000006117	Stop smoking monitoring check done
136515019	Pipe smoker
137711000006111	Smoker (Read codes)
137721000006115	Smoker - amount smoked
137761000006114	Smoking Age Ceased
137771000006119	Smoking Age Started
137791000006118	Smoking restarted
1484932017	Smoking cessation milestones
1484933010	Negotiated date for cessation of smoking
1484937011	Nicotine replacement therapy provided free
14866014	Non-smoker
1488576014	Thinking about stopping smoking
1488577017	Ready to stop smoking
1488578010	Not interested in stopping smoking
1488666019	No smokers in the household
1488870013	Nicotine replacement therapy contraindicated
1488871012	Bupropion contraindicated
1488872017	Bupropion refused
1488873010	Smoking free weeks
1488922018	Adverse reaction to bupropion
1489355012	Referral to smoking cessation advisor
150398019	Nicotine withdrawal
1563081000000115	Practice based smoking cessation programme start date
1591651000006110	Smoking cessation referral declined
1592611000000110	Failed attempt to stop smoking
16261000000110	Stop smoking monitoring administration
1626121000006116	Smoking cessation drug therapy - varenicline
1651711000000113	Consent given for smoking cessation data sharing
1653781000000119	Declined consent for smoking cessation data sharing
16588018	Tobacco deposit on teeth
1662911000000114	Consent given for follow-up by smoking cessation team
1662951000000113	Declined consent for follow-up by smoking cessation team
1676351000006110	Nicotine replacement therapy using nicotine sublingual tablets
1694421000006112	Stop smoking monitoring admin.
1697731000006111	Nicotine replacement therapy not tolerated
1704491000006115	Smoking cessation enhanced services administration monitoring template completed
1704551000006110	Referred for COPD structured smoking assessment
1704561000006112	Referred for chronic obstructive pulmonary disease structured smoking assessment
1704571000006117	Chronic obstructive pulmonary disease structured smoking assessment declined
1704581000006119	COPD structured smoking assessment declined
1709641000000115	Referral for smoking cessation service offered
1714541000006110	Current smoker annual review - enhanced services admin
1715591000006117	Referral to National Health Service stop smoking service
1716141000000117	Lost to smoking cessation follow-up
1739161000000118	Asthma trigger - tobacco smoke
1741641000006117	Smoking cessation ESA monitoring template completed
1750931000000118	Stop smoking service opportunity signposted
1751721000000113	Stop smoking invitation short message service text message
1754091000000110	Issue of nicotine replacement therapy voucher
1755201000006117	Consent given for follow-up evaluation after smoking cessation intervention
1755231000006113	Declined consent for follow-up evaluation after smoking cessation intervention
1771191000006119	Attends smoking cessation clinic not at practice
1773560017	Smoking cessation programme start date
1777011000006118	Reason for referral: Smoking Cessation
1778181000006110	Group session: Stop smoking education programme
1780273014	Seen by smoking cessation advisor
1780360012	Reason for restarting smoking
1780396011	Cigarette pack-years
1785671000006116	Stop smoking invitation first short message service text message
1785681000006118	Stop smoking invitation second short message service text message
1785691000006115	Stop smoking invitation third short message service text message
1809121000006113	Waterpipe tobacco consumption
1809131000006111	Total time smoked
1819411000006114	Smoking increased
1823811000006115	Smoking cessation 12 week follow up
1825071000006116	Smoking cessation 12 week F/U not completed
1825081000006118	Smoking cessation 12 week F/U completed
1833971000006116	Stop Smoking satisfaction questionnaire given
1873511000006118	Care contact service: Smoking/substance cessation/interven prog.
1879431000006110	User of electronic cigarette
1889671000006116	Child 27-30 mth exam.- smoking cessation support provided
1889681000006118	Child 27-30 mth exam.- signpost to smoking cessation
1889691000006115	Child 27-30 mth exam. - discuss with smoking cessation service
1889701000006115	Child 27-30 mth exam. - requ. assist. from smoking cessation
1889711000006117	Child 27-30 mth exam. - refused smoking cessation service
1925121000006113	Issue of nicotine replacement therapy voucher
1973821000006117	Mental & behav dis due to use tobacco: acute intoxication, uncomplicated
1973841000006112	Mental & behav dis due to use tobacco: acute intoxication, with trauma or other bodily injury
1973851000006114	Mental & behav dis due to use tobacco: acute intoxication, with other medical complications
1973921000006114	Mental & behav dis due to use tobacco: acute intoxication, with delirium
1973951000006117	Mental & behav dis due to use tobacco: acute intoxication, with perceptual distortions
1973981000006113	Mental & behav dis due to use tobacco: acute intoxication, with coma
1974031000006110	Mental & behav dis due to use tobacco: acute intoxication, with convulsions
1974281000006116	Mental and behav dis due to use tobacco: dependence syndr, currently abstinent
1974311000006119	Mental and behav dis due to use tobacco: dependence syndr, currently abstinent, but in a protected environment
1974341000006115	Mental and behav dis due to use tobacco: dependence syndr, currently on a clinically supervised maintenance or replacement regime [controlled dependence]
1974371000006111	Mental and behav dis due to use tobacco: dependence syndr, currently abstinent, but receiving treatment with aversive or blocking drugs
1974401000006114	Mental and behav dis due to use tobacco: dependence syndr, currently using the substance [active dependence]
1974421000006116	Mental and behav dis due to use tobacco: dependence syndr, continuous use
1974461000006110	Mental and behav dis due to use tobacco: dependence syndr, episodic use [dipsomania]
1974501000006110	Mental and behav dis due to use tobacco: withdrawal state, uncomplicated
1974531000006119	Mental and behav dis due to use tobacco: withdrawal state, with convulsions
1974571000006116	Mental & behav dis due to tobacco: withdrawl state wth delirium, without convulsions
1974581000006118	Mental & behav dis due to tobacco: withdrawl state wth delirium, with convulsions
1974651000006110	Mental & behav dis due to use tobacco: psychotic disorder, schizophrenia-like
1974681000006119	Mental & behav dis due to use tobacco: psychotic disorder, predominantly delusional
1974711000006118	Mental & behav dis due to use tobacco: psychotic disorder, predominantly hallucinatory
1974741000006119	Mental & behav dis due to use tobacco: psychotic disorder, predominantly polymorphic
