medcodeid,term,diabetes
787111000006112,iddm-insulin dependent diabetes mellitus,1
77727018,insulin dependent diabetes mellitus,1
772171000006114,insulin dependent diabetes mellitus,1
292621010,diabetes mellitus nos with other specified manifestation,1
772161000006119,insulin dependent diabetes mellitus,1
616571000006118,"diabetes mellitus, adult, + other specified manifestation",1
13781000006113,other specified diabetes mellitus with other spec comps,1
293756010,[x]other specified diabetes mellitus,1
377001000006117,[x]diabetes mellitus,1
913711000006112,insulin dependent diabetes maturity onset,1
772151000006116,insulin dependent diabetes maturity onset,1
121589010,diabetes mellitus,1
616681000006116,"diabetes mellitus, juvenile, + other specified manifestation",1
149278011,iatrogenic hyperinsulinism,1
3963921000006111,iatrogenic hyperinsulinaemia,1
12174801000006114,eye disorder due to diabetes mellitus,1
3963931000006114,iatrogenic hyperinsulinemia,1
2683581000006112,labile diabetes,1
12218511000006112,kidney disorder due to diabetes mellitus,1
1223147012,insulin treated type ii diabetes mellitus,1
841351000006110,insulin treated type ii diabetes mellitus,1
1223148019,insulin treated non-insulin dependent diabetes mellitus,1
771331000006116,insulin dependent diabetes mellitus with arthropathy,1
459293018,insulin dependent diabetes mellitus with arthropathy,1
169731000006118,retinal abnormality - diabetes related,1
2576431000006117,dr - diabetic retinopathy,1
1230890017,autonomic neuropathy due to diabetes,1
1230929011,secondary pancreatic diabetes mellitus,1
12331051000006112,mononeuropathy with type 2 diabetes mellitus,1
12331221000006112,exudative maculopathy with type 1 diabetes mellitus,1
12332101000006118,cataract due to diabetes mellitus type 2,1
12332271000006117,retinopathy with type 1 diabetes mellitus,1
12332751000006115,mononeuropathy with type 1 diabetes mellitus,1
12334141000006111,neurological disorder with diabetes type 2,1
12334611000006115,neurological disorder with type 1 diabetes mellitus,1
12335671000006113,exudative maculopathy with type 2 diabetes mellitus,1
12335991000006117,peripheral vascular disorder due to diabetes mellitus,1
12336111000006119,cataract due to diabetes mellitus type 1,1
12336531000006116,retinopathy with type 2 diabetes mellitus,1
12336851000006113,nervous system disorder due to diabetes mellitus,1
12336871000006115,disorder of eye with type 2 diabetes mellitus,1
12363661000006113,gastroparesis with type 1 diabetes mellitus,1
12363681000006115,gastroparesis with type 2 diabetes mellitus,1
12370271000006116,disorder of eye with type 1 diabetes mellitus,1
292617015,diabetes mellitus with other specified manifestation,1
292622015,diabetes mellitus with unspecified complication,1
292626017,diabetes mellitus nos with unspecified complication,1
13811000006110,other specified diabetes mellitus with unspecified comps,1
719531000006118,malnutrition-related diabetes mellitus,1
12702421000006111,type ii diabetes mellitus with ophthalmic complications,1
1484867016,non proliferative diabetic retinopathy,1
1484887015,o/e - diabetic maculopathy present both eyes,1
1488393013,o/e - right diabetic foot at low risk,1
1488394019,o/e - right diabetic foot at high risk,1
1488395018,o/e - right diabetic foot - ulcerated,1
1488396017,o/e - left diabetic foot - ulcerated,1
1488397014,o/e - left diabetic foot at low risk,1
1488398016,o/e - left diabetic foot at high risk,1
1488403015,o/e - left diabetic foot at moderate risk,1
1488404014,o/e - right diabetic foot at moderate risk,1
1488405010,diabetic foot risk assessment,1
1488441010,diabetes medication review,1
850691000006118,hyperosmolar non-ketotic state in type 2 diabetes mellitus,1
1488898011,hyperosmolar non-ketotic state in type 2 diabetes mellitus,1
3963911000006115,iatrogenic hyperinsulinism,1
189721000000113,secondary diabetes mellitus without complication,1
15518018,secondary diabetes mellitus,1
1658861000000113,type i diabetic dietary review,1
1658901000000118,type ii diabetic dietary review,1
1665721000000112,type 2 diabetic dietary review,1
1665751000000119,type 1 diabetic dietary review,1
1666911000000113,o/e - left diabetic foot at increased risk,1
1666931000000117,o/e - right diabetic foot at increased risk,1
1667891000000113,hyperosmolar non-ketotic state in type ii diabetes mellitus,1
8084961000006111,diabetes type ii review,1
841011000006112,high risk non proliferative diabetic retinopathy,1
6618061000006116,bronze diabetes,1
1780311019,type 1 diabetes mellitus with persistent microalbuminuria,1
928491000006110,type i diabetes mellitus with persistent microalbuminuria,1
1780386019,diabetic foot examination,1
1785163015,high risk proliferative diabetic retinopathy,1
1785332013,background diabetic retinopathy,1
1786715019,bronzed diabetes,1
746791000006111,insulin-dependent diabetes without complication,1
292475010,diabetes mellitus nos with no mention of complication,1
457327017,insulin-dependent diabetes without complication,1
292466013,diabetes mellitus with no mention of complication,1
178800012,insulin coma,1
197761014,type 2 diabetes mellitus,1
84471000006119,type 2 diabetes mellitus,1
3209441000006114,diabetes mellitus type 2,1
84281000006115,type 1 diabetes mellitus,1
197984010,type 1 diabetes mellitus,1
3253241000006117,diabetes mellitus type 1,1
19931010,brittle diabetes,1
72651000006114,unstable insulin dependent diabetes mellitus,1
411891014,unstable diabetes,1
429972014,unstable insulin dependent diabetes mellitus,1
4392151000006119,lipodystrophic diabetes,1
4392201000006111,diabetic peripheral vascular disease,1
205225016,diabetic nephropathy,1
2115761000000117,diabetes self-management plan review,1
2117891000000114,diabetes self-management plan agreed,1
