"searchterms","exclusionterms","searched_in_column","searchmethod"
"lymphoma","^hodgkin","Term","termsearch <- function(lookup, terms) {stringr::str_detect(lookup, stringr::regex(paste(terms, collapse = '|'), ignore_case = TRUE))}; initial <- dplyr::filter(DATA, termsearch(COLUMN, SEARCHTERMS)); excluded <- dplyr::filter(initial, termsearch(COLUMN, EXCLUSIONTERMS); final <- dplyr::setdiff(inital, excluded)"
"lymphosarcoma","Classical Hodgkin",,
"reticulosarcoma","B-cell Hodgkin",,
"burkitt","Malignant Hodgkin",,
"neoplasms of lymphoid","History of Hodgkin",,
"Malignant neoplasm lymphatic","Family history",,
"Brill - Symmers' disease","No FH of",,
"Lymphoid neoplasm","Leukaemia",,
"Malignant tumour of lymphoid",,,
"Maltoma",,,
