"searchterms","exclusionterms","searched_in_column","searchmethod"
"Alcoholic liver cirrhosis",,"Term","default stringr::str_detect() search method"
"Alcoholic liver damage",,,
"Alcoholic liver disease",,,
"Bacterial portal cirrhosis",,,
"Biliary cirrhosis",,,
"Biliary cirrhosis NOS",,,
"Biliary cirrhosis of children",,,
"Capsular portal cirrhosis",,,
"Cardiac cirrhosis",,,
"Cardiac portal cirrhosis",,,
"Cirrhosis - non-alcoholic",,,
"Cirrhosis and chronic liver disease",,,
"Cirrhosis of liver",,,
"Cirrhosis secondary to cholestasis",,,
"CL - Cirrhosis of liver",,,
"Congestive cirrhosis",,,
"Cryptogenic cirrhosis",,,
"Cystic fibrosis related cirrhosis",,,
"Diffuse nodular cirrhosis",,,
"Fatty portal cirrhosis",,,
"Fibrosis of liver",,,
"Florid cirrhosis",,,
"Glycogenosis with hepatic cirrhosis",,,
"Hepatic cirrhosis",,,
"Hepatic fibrosis",,,
"Hepatic fibrosis with hepatic sclerosis",,,
"Hepatic sclerosis",,,
"Hypertrophic portal cirrhosis",,,
"Indian childhood cirrhosis",,,
"Infectious cirrhosis",,,
"Juvenile portal cirrhosis",,,
"Laennec's cirrhosis",,,
"Macronodular cirrhosis",,,
"Macronodular cirrhosis of liver",,,
"Multilobular portal cirrhosis",,,
"Non-alcoholic cirrhosis NOS",,,
"Oesophageal varices in alcoholic cirrhosis of the liver",,,
"Oesophageal varices in cirrhosis of the liver",,,
"PC - Portal cirrhosis",,,
"Pigmentary cirrhosis of liver",,,
"Portal cirrhosis",,,
"Portal cirrhosis unspecified",,,
"Portal fibrosis without cirrhosis",,,
"Postnecrotic cirrhosis of liver",,,
"Secondary biliary cirrhosis",,,
"Toxic liver disease with fibrosis and cirrhosis of liver",,,
"Xanthomatous portal cirrhosis",,,
"Zooparasitic portal cirrhosis",,,
"Alcoholic cirrhosis",,,
"Alcoholic fibrosis",,,
"Decompensated cirrhosis",,,
"Cardituberculous cirrhosis",,,
