"code","ALT_CODE","USAGE","USAGE_UK","DESCRIPTION","MODIFIER_4","MODIFIER_5","QUALIFIERS","GENDER_MASK","MIN_AGE","MAX_AGE","TREE_DESCRIPTION"
"C70","C70","DEFAULT","3","Malignant neoplasm of meninges","","","",,,,""
"C70.0","C700","DEFAULT","3","Malignant neoplasm: Cerebral meninges","","","",,,,"Cerebral meninges"
"C70.1","C701","DEFAULT","3","Malignant neoplasm: Spinal meninges","","","",,,,"Spinal meninges"
"C70.9","C709","DEFAULT","3","Malignant neoplasm: Meninges, unspecified","","","",,,,"Meninges, unspecified"
"C71","C71","DEFAULT","3","Malignant neoplasm of brain","","","",,,,""
"C71.0","C710","DEFAULT","3","Malignant neoplasm: Cerebrum, except lobes and ventricles","","","",,,,"Cerebrum, except lobes and ventricles"
"C71.1","C711","DEFAULT","3","Malignant neoplasm: Frontal lobe","","","",,,,"Frontal lobe"
"C71.2","C712","DEFAULT","3","Malignant neoplasm: Temporal lobe","","","",,,,"Temporal lobe"
"C71.3","C713","DEFAULT","3","Malignant neoplasm: Parietal lobe","","","",,,,"Parietal lobe"
"C71.4","C714","DEFAULT","3","Malignant neoplasm: Occipital lobe","","","",,,,"Occipital lobe"
"C71.5","C715","DEFAULT","3","Malignant neoplasm: Cerebral ventricle","","","",,,,"Cerebral ventricle"
"C71.6","C716","DEFAULT","3","Malignant neoplasm: Cerebellum","","","",,,,"Cerebellum"
"C71.7","C717","DEFAULT","3","Malignant neoplasm: Brain stem","","","",,,,"Brain stem"
"C71.8","C718","DEFAULT","3","Malignant neoplasm: Overlapping lesion of brain","","","",,,,"Overlapping lesion of brain"
"C71.9","C719","DEFAULT","3","Malignant neoplasm: Brain, unspecified","","","",,,,"Brain, unspecified"
"C72","C72","DEFAULT","3","Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system","","","",,,,""
"C72.0","C720","DEFAULT","3","Malignant neoplasm: Spinal cord","","","",,,,"Spinal cord"
"C72.1","C721","DEFAULT","3","Malignant neoplasm: Cauda equina","","","",,,,"Cauda equina"
"C72.2","C722","DEFAULT","3","Malignant neoplasm: Olfactory nerve","","","",,,,"Olfactory nerve"
"C72.3","C723","DEFAULT","3","Malignant neoplasm: Optic nerve","","","",,,,"Optic nerve"
"C72.4","C724","DEFAULT","3","Malignant neoplasm: Acoustic nerve","","","",,,,"Acoustic nerve"
"C72.5","C725","DEFAULT","3","Malignant neoplasm: Other and unspecified cranial nerves","","","",,,,"Other and unspecified cranial nerves"
"C72.8","C728","DEFAULT","3","Malignant neoplasm: Overlapping lesion of brain and other parts of central nervous system","","","",,,,"Overlapping lesion of brain and other parts of central nervous system"
"C72.9","C729","DEFAULT","3","Malignant neoplasm: Central nervous system, unspecified","","","",,,,"Central nervous system, unspecified"
