code,description,coding_system,concept_id,concept_version_id,concept_name,phenotype_id,phenotype_version_id,phenotype_name,code_attributes
6A2..00,Coronary heart disease annual review,Read codes v2,C3193,8545,File - Coronary Heart Disease - Primary Care - Incident,PH1027,2263,Coronary Heart Disease (CHD),{'CALIBER.Category': 'Diagnosed'}
6A4..00,Coronary heart disease review,Read codes v2,C3193,8545,File - Coronary Heart Disease - Primary Care - Incident,PH1027,2263,Coronary Heart Disease (CHD),{'CALIBER.Category': 'Diagnosed'}
8B3k.00,Coronary heart disease medication review,Read codes v2,C3193,8545,File - Coronary Heart Disease - Primary Care - Incident,PH1027,2263,Coronary Heart Disease (CHD),{'CALIBER.Category': 'Diagnosed'}
8H2V.00,Admit ischaemic heart disease emergency,Read codes v2,C3193,8545,File - Coronary Heart Disease - Primary Care - Incident,PH1027,2263,Coronary Heart Disease (CHD),{'CALIBER.Category': 'Diagnosed'}
G3...00,Ischaemic heart disease,Read codes v2,C3193,8545,File - Coronary Heart Disease - Primary Care - Incident,PH1027,2263,Coronary Heart Disease (CHD),{'CALIBER.Category': 'Diagnosed'}
G3...11,Arteriosclerotic heart disease,Read codes v2,C3193,8545,File - Coronary Heart Disease - Primary Care - Incident,PH1027,2263,Coronary Heart Disease (CHD),{'CALIBER.Category': 'Diagnosed'}
G3...12,Atherosclerotic heart disease,Read codes v2,C3193,8545,File - Coronary Heart Disease - Primary Care - Incident,PH1027,2263,Coronary Heart Disease (CHD),{'CALIBER.Category': 'Diagnosed'}
G3...13,IHD - Ischaemic heart disease,Read codes v2,C3193,8545,File - Coronary Heart Disease - Primary Care - Incident,PH1027,2263,Coronary Heart Disease (CHD),{'CALIBER.Category': 'Diagnosed'}
G31..00,Other acute and subacute ischaemic heart disease,Read codes v2,C3193,8545,File - Coronary Heart Disease - Primary Care - Incident,PH1027,2263,Coronary Heart Disease (CHD),{'CALIBER.Category': 'Diagnosed'}
G311000,Myocardial infarction aborted,Read codes v2,C3193,8545,File - Coronary Heart Disease - Primary Care - Incident,PH1027,2263,Coronary Heart Disease (CHD),{'CALIBER.Category': 'Diagnosed'}
G311011,MI - myocardial infarction aborted,Read codes v2,C3193,8545,File - Coronary Heart Disease - Primary Care - Incident,PH1027,2263,Coronary Heart Disease (CHD),{'CALIBER.Category': 'Diagnosed'}
G31y.00,Other acute and subacute ischaemic heart disease,Read codes v2,C3193,8545,File - Coronary Heart Disease - Primary Care - Incident,PH1027,2263,Coronary Heart Disease (CHD),{'CALIBER.Category': 'Diagnosed'}
G31y200,Subendocardial ischaemia,Read codes v2,C3193,8545,File - Coronary Heart Disease - Primary Care - Incident,PH1027,2263,Coronary Heart Disease (CHD),{'CALIBER.Category': 'Diagnosed'}
G31y300,Transient myocardial ischaemia,Read codes v2,C3193,8545,File - Coronary Heart Disease - Primary Care - Incident,PH1027,2263,Coronary Heart Disease (CHD),{'CALIBER.Category': 'Diagnosed'}
G31yz00,Other acute and subacute ischaemic heart disease NOS,Read codes v2,C3193,8545,File - Coronary Heart Disease - Primary Care - Incident,PH1027,2263,Coronary Heart Disease (CHD),{'CALIBER.Category': 'Diagnosed'}
G34..00,Other chronic ischaemic heart disease,Read codes v2,C3193,8545,File - Coronary Heart Disease - Primary Care - Incident,PH1027,2263,Coronary Heart Disease (CHD),{'CALIBER.Category': 'Diagnosed'}
G340.00,Coronary atherosclerosis,Read codes v2,C3193,8545,File - Coronary Heart Disease - Primary Care - Incident,PH1027,2263,Coronary Heart Disease (CHD),{'CALIBER.Category': 'Diagnosed'}
G340.12,Coronary artery disease,Read codes v2,C3193,8545,File - Coronary Heart Disease - Primary Care - Incident,PH1027,2263,Coronary Heart Disease (CHD),{'CALIBER.Category': 'Diagnosed'}
G343.00,Ischaemic cardiomyopathy,Read codes v2,C3193,8545,File - Coronary Heart Disease - Primary Care - Incident,PH1027,2263,Coronary Heart Disease (CHD),{'CALIBER.Category': 'Diagnosed'}
G344.00,Silent myocardial ischaemia,Read codes v2,C3193,8545,File - Coronary Heart Disease - Primary Care - Incident,PH1027,2263,Coronary Heart Disease (CHD),{'CALIBER.Category': 'Diagnosed'}
G34y.00,Other specified chronic ischaemic heart disease,Read codes v2,C3193,8545,File - Coronary Heart Disease - Primary Care - Incident,PH1027,2263,Coronary Heart Disease (CHD),{'CALIBER.Category': 'Diagnosed'}
G34y100,Chronic myocardial ischaemia,Read codes v2,C3193,8545,File - Coronary Heart Disease - Primary Care - Incident,PH1027,2263,Coronary Heart Disease (CHD),{'CALIBER.Category': 'Diagnosed'}
G34yz00,Other specified chronic ischaemic heart disease NOS,Read codes v2,C3193,8545,File - Coronary Heart Disease - Primary Care - Incident,PH1027,2263,Coronary Heart Disease (CHD),{'CALIBER.Category': 'Diagnosed'}
G34z.00,Other chronic ischaemic heart disease NOS,Read codes v2,C3193,8545,File - Coronary Heart Disease - Primary Care - Incident,PH1027,2263,Coronary Heart Disease (CHD),{'CALIBER.Category': 'Diagnosed'}
G34z000,Asymptomatic coronary heart disease,Read codes v2,C3193,8545,File - Coronary Heart Disease - Primary Care - Incident,PH1027,2263,Coronary Heart Disease (CHD),{'CALIBER.Category': 'Diagnosed'}
G3y..00,Other specified ischaemic heart disease,Read codes v2,C3193,8545,File - Coronary Heart Disease - Primary Care - Incident,PH1027,2263,Coronary Heart Disease (CHD),{'CALIBER.Category': 'Diagnosed'}
G3z..00,Ischaemic heart disease NOS,Read codes v2,C3193,8545,File - Coronary Heart Disease - Primary Care - Incident,PH1027,2263,Coronary Heart Disease (CHD),{'CALIBER.Category': 'Diagnosed'}
Gyu3.00,[X]Ischaemic heart diseases,Read codes v2,C3193,8545,File - Coronary Heart Disease - Primary Care - Incident,PH1027,2263,Coronary Heart Disease (CHD),{'CALIBER.Category': 'Diagnosed'}
Gyu3200,[X]Other forms of acute ischaemic heart disease,Read codes v2,C3193,8545,File - Coronary Heart Disease - Primary Care - Incident,PH1027,2263,Coronary Heart Disease (CHD),{'CALIBER.Category': 'Diagnosed'}
Gyu3300,[X]Other forms of chronic ischaemic heart disease,Read codes v2,C3193,8545,File - Coronary Heart Disease - Primary Care - Incident,PH1027,2263,Coronary Heart Disease (CHD),{'CALIBER.Category': 'Diagnosed'}
