"searchterms","exclusionterms","searched_in_column","searchmethod"
"Adex gel","cathartic","Term from EMIS","termsearch <- function(lookup, terms) {stringr::str_detect(lookup, stringr::regex(paste(terms, collapse = '|'), ignore_case = TRUE))}; initial <- dplyr::filter(DATA, termsearch(COLUMN, SEARCHTERMS)); excluded <- dplyr::filter(initial, termsearch(COLUMN, EXCLUSIONTERMS); final <- dplyr::setdiff(inital, excluded)"
"Alcoderm cream","vaginal",,
"Alcoderm lotion","mouth",,
"Alhydran cream","lozenges",,
"Alhydran SPF 30 cream","oromucosal",,
"Allergenics emollient cream","oral",,
"Allergenics Intensive Care ointment","pastille",,
"Allergenics Skin lotion","glycopyrronium",,
"AproDerm Colloidal Oat cream","betamethasone",,
"AproDerm emollient cream","monobenzone",,
"AproDerm gel","clobetasol",,
"AproDerm ointment","menthol",,
"AquaBar","salicylic acid",,
"AquaDerm Aqueous cream","coal tar",,
"AquaDerm Cetomacrogol cream (Formula A)","eye ointment",,
"AquaDerm Hydrous ointment","capsule",,
"AquaDerm Liquid Paraffin","enema",,
"Aquamax cream","powder",,
"Aquamax wash","hard solid",,
"Aquamol cream","crystal",,
"Aqueous cream","paste",,
"AriPro mousse","shampoo",,
"Ashbourne Emollient Medicinal bath oil","Liquid paraffin liquid",,
"Aveeno",,,
"Aveeno baby bath additive colloidal powder 15g sachets",,,
"Aveeno bath additive colloidal powder 50g sachets",,,
"Aveeno bath oil",,,
"Aveeno body wash",,,
"Aveeno cream",,,
"Aveeno Daily moisturising body cleansing oil",,,
"Aveeno Daily moisturising hand cream",,,
"Aveeno Intense Relief hand cream",,,
"Aveeno lotion",,,
"Aveeno moisturising creamy oil",,,
"Aveeno Skin Relief moisturising lotion with menthol",,,
"Avene XeraCalm A.D Lipid-Replenishing balm",,,
"Avene XeraCalm A.D Lipid-Replenishing Cleansing oil",,,
"Avene XeraCalm A.D Lipid-Replenishing cream",,,
"Balneum Intensiv cream",,,
"Bell's Emollient 50 ointment",,,
"Buffered cream",,,
"CCS Foot Care cream",,,
"cetomacrogol",,,
"Cetomacrogol cream (Formula A)",,,
"Cetomacrogol cream (Formula B)",,,
"Cetraben cream",,,
"Cetraben lotion",,,
"Cetraben ointment",,,
"Cetrimide 0.2% / Benzalkonium chloride 0.1% cream",,,
"Chamomile extract 10.5% ointment",,,
"Childs Farm unfragranced moisturising cream",,,
"cocoa butter",,,
"Coconut oil 50% in White soft paraffin",,,
"cold cream",,,
"Comfrey and Vitamin E balm",,,
"Cuderm moisturising cream",,,
"Cuderm moisturising hand cream",,,
"Cuderm moisturising lotion",,,
"Decubal Clinic cream",,,
"Derma Shield skin protector mousse",,,
"Dermalex Repair Scalp Psoriasis gel",,,
"Dermalo bath emollient",,,
"Dermatonics Dry Skin Balm",,,
"Dermatonics Once Callus Removing Balm",,,
"Dermatonics Once Heel Balm",,,
"Dermipar ointment",,,
"Dermol 200 shower emollient",,,
"Dermol 500",,,
"Dermol 500 lotion",,,
"Dermol 600 bath emollient",,,
"Dermol cream",,,
"Dermol Wash cutaneous emulsion",,,
"Dexeryl cream",,,
"Diprobase",,,
"Diprobase cream",,,
"Diprobase lotion",,,
"Doublebase",,,
"Doublebase Dayleve gel",,,
"Doublebase emollient",,,
"Doublebase gel",,,
"Doublebase Once gel",,,
"E45 cream",,,
"E45 Eczema Repair cream",,,
"E45 emollient bath oil",,,
"E45 emollient shower cream",,,
"E45 emollient wash cream",,,
"E45 Intense Recovery lotion",,,
"E45 Junior foaming bath milk",,,
"E45 Lipcare",,,
"E45 lotion",,,
"E45 Nourish & Restore lotion",,,
"E45 Touchably Smooth lotion",,,
"Elave body oil",,,
"Elave body wash",,,
"Elave Intensive cream",,,
"Elave lotion",,,
"Elave shampoo",,,
"Emcrem cream",,,
"Emelpin ointment",,,
"emollient",,,
"Emollin aerosol spray",,,
"Emulfin ointment",,,
"Emulsiderm emollient",,,
"EmulsifEss ointment",,,
"Emulsifying ointment",,,
"Emulsifying ointment 50% / Liquid paraffin 50% ointment",,,
"Enopen cream",,,
"Epaderm cream",,,
"Epaderm Junior cream",,,
"Epaderm Junior ointment",,,
"Epaderm ointment",,,
"Epimax excetra cream",,,
"Epimax isomol gel",,,
"Epimax moisturising cream",,,
"Epimax oatmeal cream",,,
"Epimax ointment",,,
"Epimax original cream",,,
"Epimax Paraffin-Free cream",,,
"Epimax paraffin-free ointment",,,
"Eucerin Anti-Redness Calming Night cream",,,
"Eucerin AntiREDNESS concealing day cream SPF25",,,
"Eucerin Anti-Redness Neutralising Day fluid",,,
"Eucerin AntiREDNESS soothing care cream",,,
"Eucerin ATOControl Bath & Shower oil",,,
"Eucerin Dry Skin Relief bath therapy oil",,,
"Eucerin Dry Skin Relief soothing spray",,,
"Eucerin UreaRepair Plus 10% urea lotion",,,
"Eumobase cream",,,
"Eumocream 25% cream",,,
"Evening primrose oil 0.87% cream",,,
"Evening primrose oil 20% cream",,,
"Evolve Plus emollient spray",,,
"Exmabase gel",,,
"Exmaben cream",,,
"Exmalatum cream",,,
"ExmaQS cream",,,
"ExoCream",,,
"Fifty:50 ointment",,,
"Flamigel RT gel",,,
"Flexitol 25% Urea Heel Balm",,,
"Flexitol Hand Balm",,,
"Flexitol Skin Balm",,,
"Generic Vaseline Dermacare lotion",,,
"GlucoRx Allpresan diabetic foam cream Basic",,,
"GlucoRx Allpresan diabetic foam cream Intensive",,,
"Glycerol 25% cream",,,
"Glycerol 40% cream",,,
"Glycopyrronium bromide 0.5% in Unguentum M cream",,,
"Glycopyrronium bromide 2% in Aqueous cream",,,
"Hewletts cream",,,
"Hydromol 2.5% cream",,,
"Hydromol ointment",,,
"Hydrous ointment",,,
"Hydrous wool fat",,,
"HypoBase gel",,,
"Imuderm cream",,,
"imuDERM emollient",,,
"Isopropyl myristate 15% / Liquid paraffin 15% gel",,,
"Kamillosan baby cream",,,
"Kamillosan Chamomile 10.5% ointment",,,
"Keri Therapeutic lotion",,,
"KreaMoint 50:50 ointment",,,
"KreaMol A cream",,,
"Lactic acid 5% / Sodium pidolate 2.5% lotion",,,
"LactiCare lotion",,,
"Lansinoh Brand Lanolin ointment",,,
"Linola Gamma 20% cream",,,
"Lipikar Baume AP+ Lipid-Replenishing balm",,,
"Lipobase",,,
"Lipobase cream",,,
"Liquid paraffin 11% cream",,,
"Liquid paraffin 16% lotion",,,
"Liquid paraffin 65% / Acetylated wool alcohols 5% bath oil",,,
"Liquid paraffin 65% bath additive",,,
"Liquid paraffin 91.7% / Lanolin 3% bath oil",,,
"Liquid paraffin light 37.8% / Isopropyl myristate 13% bath additive",,,
"Liquid paraffin light 63.4% bath additive",,,
"Liquid paraffin light 69.6% / Almond oil 30% bath oil",,,
"Liquid paraffin light 70% gel",,,
"Liquid paraffin light 82.8% bath additive",,,
"Lotil cream",,,
"Lotil foot cream",,,
"Menthol 0.5% in Aqueous cream",,,
"Menthol 1% in Aqueous cream",,,
"Menthol 2% in Aqueous cream",,,
"Menthol 5% in Aqueous cream",,,
"moisturi",,,
"MooGoo Scalp cream",,,
"MooGoo Sensitive skin balm",,,
"MooGoo Skin Milk Udder cream",,,
"MyriBase emollient",,,
"MyriBase gel",,,
"Neo Baby cream",,,
"Neutrogena Norwegian Formula 40% dermatological cream",,,
"Oilatum cream",,,
"Oilatum Junior cream",,,
